2048 RL!
iteration: 47443, score: 312, eps: 0.8685993445194167
iteration: 47578, score: 1152, eps: 0.8684356410214082
iteration: 47704, score: 1040, eps: 0.8681083322311218
iteration: 47749, score: 192, eps: 0.8681083322311218
iteration: 47898, score: 1260, eps: 0.8679447269257515
iteration: 48028, score: 1000, eps: 0.8676176144618355
iteration: 48172, score: 1336, eps: 0.8674541072902052
iteration: 48338, score: 1360, eps: 0.8671271910348992
iteration: 48497, score: 1392, eps: 0.8669637819381466
iteration: 48542, score: 228, eps: 0.8668004055199454
iteration: 48669, score: 1104, eps: 0.8666370617737605
iteration: 48815, score: 1012, eps: 0.866310472271306
iteration: 48877, score: 300, eps: 0.866310472271306
iteration: 48950, score: 320, eps: 0.8661472265019727
iteration: 49076, score: 1172, eps: 0.8659840133785288
iteration: 49226, score: 1288, eps: 0.8656576850431954
iteration: 49334, score: 772, eps: 0.8654945698182531
iteration: 49420, score: 524, eps: 0.8653314872130935
iteration: 49593, score: 1360, eps: 0.8651684372211936
iteration: 49751, score: 1364, eps: 0.8648424350510859
iteration: 49813, score: 292, eps: 0.864679482859838
iteration: 49957, score: 952, eps: 0.8645165632557694
iteration: 50060, score: 656, eps: 0.8643536762323635
iteration: 50174, score: 748, eps: 0.8641908217831049
iteration: 50301, score: 1208, eps: 0.8638652105809735
iteration: 50466, score: 1496, eps: 0.8637024538150765
iteration: 50534, score: 376, eps: 0.8635397295972776
iteration: 50676, score: 1268, eps: 0.8633770379210681
iteration: 50789, score: 604, eps: 0.8632143787799401
iteration: 50926, score: 1164, eps: 0.8628891580769051
iteration: 51040, score: 996, eps: 0.862726596501989
iteration: 51140, score: 668, eps: 0.8625640674361371
iteration: 51255, score: 984, eps: 0.8624015708728479
iteration: 51384, score: 1100, eps: 0.8622391068056215
iteration: 51557, score: 1508, eps: 0.8619142761333648
iteration: 51695, score: 980, eps: 0.8617519095153411
iteration: 51832, score: 1008, eps: 0.86142727368303
iteration: 52002, score: 1480, eps: 0.8611027676790843
iteration: 52110, score: 652, eps: 0.8609405633465224
iteration: 52211, score: 724, eps: 0.8607783914515831
iteration: 52294, score: 564, eps: 0.8607783914515831
iteration: 52436, score: 1404, eps: 0.8604541449486264
iteration: 52579, score: 1312, eps: 0.860292070327639
iteration: 52761, score: 1596, eps: 0.8599680183142313
iteration: 52886, score: 1028, eps: 0.8598060409088489
iteration: 53005, score: 1008, eps: 0.8594821832683316
iteration: 53117, score: 796, eps: 0.8593203030202423
iteration: 53258, score: 1300, eps: 0.8591584551449654
iteration: 53352, score: 584, eps: 0.8589966396360267
iteration: 53438, score: 552, eps: 0.8588348564869536
iteration: 53501, score: 308, eps: 0.8586731056912749
