Episode 248: Total Reward = 928.0, Epsilon = 0.29, steps = 102.00
Episode 249: Total Reward = 664.0, Epsilon = 0.29, steps = 102.00
Episode 250: Total Reward = -2312.0, Epsilon = 0.29, steps = 148.00
Episode 251: Total Reward = 1084.0, Epsilon = 0.28, steps = 148.00
Episode 252: Total Reward = 764.0, Epsilon = 0.28, steps = 148.00
Episode 253: Total Reward = 704.0, Epsilon = 0.28, steps = 148.00
Episode 254: Total Reward = -2352.0, Epsilon = 0.28, steps = 110.00
Episode 255: Total Reward = -2648.0, Epsilon = 0.28, steps = 91.00
Episode 256: Total Reward = 560.0, Epsilon = 0.28, steps = 91.00
Episode 257: Total Reward = 576.0, Epsilon = 0.28, steps = 91.00
Episode 258: Total Reward = -2524.0, Epsilon = 0.27, steps = 107.00
Episode 259: Total Reward = -2388.0, Epsilon = 0.27, steps = 147.00
Episode 260: Total Reward = 960.0, Epsilon = 0.27, steps = 147.00
Episode 261: Total Reward = -2740.0, Epsilon = 0.27, steps = 81.00
Episode 262: Total Reward = -2576.0, Epsilon = 0.27, steps = 97.00
Episode 263: Total Reward = 808.0, Epsilon = 0.27, steps = 97.00
Episode 264: Total Reward = -2464.0, Epsilon = 0.27, steps = 143.00
Episode 265: Total Reward = 528.0, Epsilon = 0.26, steps = 143.00
Episode 266: Total Reward = 572.0, Epsilon = 0.26, steps = 143.00
Episode 267: Total Reward = -2516.0, Epsilon = 0.26, steps = 134.00
Episode 268: Total Reward = 532.0, Epsilon = 0.26, steps = 134.00
Episode 269: Total Reward = 336.0, Epsilon = 0.26, steps = 134.00
Episode 270: Total Reward = 952.0, Epsilon = 0.26, steps = 134.00
Episode 271: Total Reward = -2420.0, Epsilon = 0.26, steps = 106.00
Episode 272: Total Reward = 704.0, Epsilon = 0.26, steps = 106.00
Episode 273: Total Reward = 976.0, Epsilon = 0.25, steps = 106.00
Episode 274: Total Reward = 708.0, Epsilon = 0.25, steps = 106.00
Episode 275: Total Reward = 568.0, Epsilon = 0.25, steps = 106.00
Episode 276: Total Reward = 604.0, Epsilon = 0.25, steps = 106.00
Episode 277: Total Reward = 572.0, Epsilon = 0.25, steps = 106.00
Episode 278: Total Reward = 684.0, Epsilon = 0.25, steps = 106.00
Episode 279: Total Reward = 556.0, Epsilon = 0.25, steps = 106.00
Episode 280: Total Reward = 504.0, Epsilon = 0.25, steps = 106.00
Episode 281: Total Reward = 372.0, Epsilon = 0.24, steps = 106.00
Episode 282: Total Reward = -2428.0, Epsilon = 0.24, steps = 142.00
Episode 283: Total Reward = 624.0, Epsilon = 0.24, steps = 142.00
Episode 284: Total Reward = 616.0, Epsilon = 0.24, steps = 142.00
Episode 285: Total Reward = 524.0, Epsilon = 0.24, steps = 142.00
Episode 286: Total Reward = 616.0, Epsilon = 0.24, steps = 142.00
Episode 287: Total Reward = 620.0, Epsilon = 0.24, steps = 142.00
Episode 288: Total Reward = 572.0, Epsilon = 0.24, steps = 142.00
Episode 289: Total Reward = 672.0, Epsilon = 0.23, steps = 142.00
Episode 290: Total Reward = 656.0, Epsilon = 0.23, steps = 142.00
Episode 291: Total Reward = 544.0, Epsilon = 0.23, steps = 142.00
Episode 292: Total Reward = 868.0, Epsilon = 0.23, steps = 142.00
Episode 293: Total Reward = 680.0, Epsilon = 0.23, steps = 142.00
Episode 294: Total Reward = 572.0, Epsilon = 0.23, steps = 142.00
Episode 295: Total Reward = 692.0, Epsilon = 0.23, steps = 142.00
Episode 296: Total Reward = 800.0, Epsilon = 0.23, steps = 142.00
Episode 297: Total Reward = 724.0, Epsilon = 0.23, steps = 142.00
Episode 298: Total Reward = 724.0, Epsilon = 0.22, steps = 142.00
Episode 299: Total Reward = -2728.0, Epsilon = 0.22, steps = 118.00
Episode 300: Total Reward = 520.0, Epsilon = 0.22, steps = 118.00
Episode 301: Total Reward = 684.0, Epsilon = 0.22, steps = 118.00
Episode 302: Total Reward = 540.0, Epsilon = 0.22, steps = 118.00
Episode 303: Total Reward = -3680.0, Epsilon = 0.22, steps = 116.00
Episode 304: Total Reward = 256.0, Epsilon = 0.22, steps = 116.00
Episode 305: Total Reward = -3300.0, Epsilon = 0.22, steps = 131.00
Episode 306: Total Reward = 656.0, Epsilon = 0.22, steps = 131.00
Episode 307: Total Reward = 624.0, Epsilon = 0.21, steps = 131.00
Episode 308: Total Reward = 588.0, Epsilon = 0.21, steps = 131.00
Episode 309: Total Reward = 700.0, Epsilon = 0.21, steps = 131.00
Episode 310: Total Reward = -3472.0, Epsilon = 0.21, steps = 122.00
Episode 311: Total Reward = 628.0, Epsilon = 0.21, steps = 122.00
Episode 312: Total Reward = 724.0, Epsilon = 0.21, steps = 122.00
Episode 313: Total Reward = 872.0, Epsilon = 0.21, steps = 122.00
Episode 314: Total Reward = 416.0, Epsilon = 0.21, steps = 122.00
Episode 315: Total Reward = 616.0, Epsilon = 0.21, steps = 122.00
Episode 316: Total Reward = 636.0, Epsilon = 0.21, steps = 122.00
Episode 317: Total Reward = 608.0, Epsilon = 0.20, steps = 122.00
Episode 318: Total Reward = 420.0, Epsilon = 0.20, steps = 122.00
Episode 319: Total Reward = 464.0, Epsilon = 0.20, steps = 122.00
Episode 320: Total Reward = 556.0, Epsilon = 0.20, steps = 122.00
Episode 321: Total Reward = 652.0, Epsilon = 0.20, steps = 122.00
Episode 322: Total Reward = -3420.0, Epsilon = 0.20, steps = 135.00
Episode 323: Total Reward = 568.0, Epsilon = 0.20, steps = 135.00
Episode 324: Total Reward = 608.0, Epsilon = 0.20, steps = 135.00
Episode 325: Total Reward = -3612.0, Epsilon = 0.20, steps = 109.00
Episode 326: Total Reward = 876.0, Epsilon = 0.20, steps = 109.00
